proudct_id,product_des,product_category
p-45,synergize user-centric interfaces,Eletronicos
p-84,architect customized methodologies,Eletronicos
p-99,expedite B2C action-items,Livros
p-35,architect magnetic info-mediaries,Roupas
p-53,maximize rich vortals,Jogos
p-91,benchmark global e-business,Roupas
p-47,expedite out-of-the-box platforms,Eletronicos
p-14,visualize magnetic relationships,Eletronicos
p-00,productize world-class architectures,Livros
p-14,benchmark out-of-the-box relationships,Roupas
p-91,matrix viral e-business,Jogos
p-22,unleash seamless channels,Eletronicos
p-06,exploit synergistic e-markets,Roupas
p-40,syndicate front-end paradigms,Roupas
p-45,grow holistic portals,Roupas
p-53,iterate one-to-one action-items,Roupas
p-82,repurpose scalable action-items,Roupas
p-55,iterate B2C applications,Roupas
p-85,streamline web-enabled users,Roupas
p-61,reinvent front-end ROI,Roupas
p-90,reinvent cross-media systems,Roupas
p-37,architect robust channels,Livros
p-22,scale rich e-markets,Jogos
p-37,enhance interactive systems,Roupas
p-67,optimize seamless web-readiness,Eletronicos
p-85,incubate 24/365 markets,Roupas
p-60,monetize integrated content,Eletronicos
p-84,benchmark best-of-breed platforms,Eletronicos
p-64,unleash dynamic e-commerce,Roupas
p-80,revolutionize 24/365 methodologies,Jogos
p-67,re-intermediate frictionless web services,Jogos
p-07,benchmark proactive bandwidth,Eletronicos
p-07,e-enable enterprise portals,Eletronicos
p-23,redefine collaborative schemas,Eletronicos
p-54,incubate B2B info-mediaries,Roupas
p-25,leverage turn-key e-business,Livros
p-21,repurpose extensible ROI,Jogos
p-71,incubate intuitive deliverables,Jogos
p-92,aggregate frictionless interfaces,Jogos
p-83,architect best-of-breed channels,Roupas
p-70,re-contextualize rich communities,Roupas
p-22,matrix frictionless portals,Roupas
p-92,iterate distributed info-mediaries,Livros
p-18,syndicate vertical info-mediaries,Livros
p-58,repurpose cross-platform platforms,Jogos
p-40,aggregate wireless deliverables,Jogos
p-90,transition cross-platform e-markets,Eletronicos
p-69,disintermediate rich applications,Roupas
p-30,re-contextualize collaborative niches,Livros
p-60,repurpose magnetic applications,Roupas
